Step	PotentialEnergy	Width	Height	Area
307	-294.660040	8.2025	8.8363	72.4799
308	-294.671580	8.2014	8.8293	72.4124
309	-294.673228	8.2006	8.8229	72.3532
310	-294.721312	8.2018	8.8166	72.3121
311	-294.696630	8.2013	8.8092	72.2471
312	-294.660041	8.1997	8.8008	72.1642
313	-294.671581	8.1981	8.7933	72.0880
314	-294.673229	8.1967	8.7865	72.0204
315	-294.721313	8.1976	8.7796	71.9719
316	-294.696631	8.1965	8.7718	71.8987
317	-294.660042	8.1944	8.7630	71.8072
318	-294.671581	8.1922	8.7550	71.7225
319	-294.673230	8.1903	8.7477	71.6465
320	-294.721314	8.1908	8.7404	71.5907
321	-294.696632	8.1892	8.7322	71.5094
322	-294.660043	8.1865	8.7228	71.4095
323	-294.671582	8.1838	8.7144	71.3162
324	-294.673230	8.1814	8.7066	71.2320
325	-294.721314	8.1814	8.6988	71.1690
326	-294.696632	8.1792	8.6903	71.0798
327	-294.660043	8.1760	8.6804	70.9714
328	-294.671582	8.1728	8.6715	70.8699
329	-294.673231	8.1698	8.6633	70.7774
330	-294.721314	8.1695	8.6550	70.7073
331	-294.696633	8.1668	8.6460	70.6102
332	-294.660043	8.1630	8.6357	70.4936
333	-294.671583	8.1592	8.6263	70.3839
334	-294.673231	8.1558	8.6176	70.2834
335	-294.721315	8.1551	8.6089	70.2062
336	-294.696633	8.1518	8.5996	70.1015
337	-294.660044	8.1475	8.5888	69.9768
338	-294.671583	8.1431	8.5789	69.8590
339	-294.673231	8.1392	8.5697	69.7506
340	-294.721315	8.1381	8.5606	69.6664
341	-294.696633	8.1342	8.5508	69.5541
342	-294.660044	8.1294	8.5396	69.4215
343	-294.671583	8.1245	8.5292	69.2957
344	-294.673232	8.1201	8.5249	69.2224
345	-294.721315	8.1186	8.5180	69.1542
346	-294.696633	8.1141	8.5255	69.1770
347	-294.660044	8.1088	8.5271	69.1442
348	-294.671583	8.1034	8.5268	69.0959
349	-294.673232	8.0984	8.5267	69.0528
350	-294.721315	8.0965	8.5195	68.9781
351	-294.696634	8.0915	8.5265	68.9924
352	-294.660044	8.0860	8.5277	68.9543
353	-294.671584	8.0865	8.5269	68.9527
354	-294.673232	8.0877	8.5264	68.9588
355	-294.721315	8.0956	8.5188	68.9640
356	-294.696634	8.0927	8.5253	68.9929
357	-294.660044	8.0920	8.5260	68.9925
358	-294.671584	8.0921	8.5248	68.9835
359	-294.673232	8.0928	8.5238	68.9819
360	-294.721316	8.1001	8.5158	68.9785
361	-294.696634	8.0968	8.5219	69.0004
362	-294.660044	8.0957	8.5222	68.9930
363	-294.671584	8.0954	8.5205	68.9766
364	-294.673232	8.0956	8.5191	68.9673
365	-294.721316	8.1022	8.5107	68.9553
366	-294.696634	8.0985	8.5164	68.9702
367	-294.660044	8.0971	8.5161	68.9557
368	-294.671584	8.0963	8.5140	68.9318
369	-294.673232	8.0961	8.5121	68.9150
370	-294.721316	8.1020	8.5034	68.8943
371	-294.696634	8.0980	8.5086	68.9021
372	-294.660044	8.0961	8.5079	68.8807
373	-294.671584	8.0948	8.5053	68.8494
374	-294.673232	8.0942	8.5030	68.8249
