Step	PotentialEnergy	Width	Height	Area
191	-13878.248422	25.0000	25.0000	625.0000
192	-13822.920574	25.0000	25.0000	625.0000
193	-14339.268240	25.0000	25.0000	625.0000
194	-13992.827150	25.0000	25.0000	625.0000
195	-13724.063376	25.0000	25.0000	625.0000
196	-13828.188661	25.0000	25.0000	625.0000
197	-14267.104772	25.0000	25.0000	625.0000
198	-13986.683643	25.0000	25.0000	625.0000
199	-14415.081580	25.0000	25.0000	625.0000
200	-13853.511996	25.0000	25.0000	625.0000
201	-13957.306605	25.0000	25.0000	625.0000
202	-14773.245878	25.0000	25.0000	625.0000
203	-14021.949175	25.0000	25.0000	625.0000
204	-14347.721162	25.0000	25.0000	625.0000
205	-14657.365688	25.0000	25.0000	625.0000
206	-14397.893187	25.0000	25.0000	625.0000
207	-14252.208010	25.0000	25.0000	625.0000
208	-14029.354798	25.0000	25.0000	625.0000
209	-14302.851113	25.0000	25.0000	625.0000
210	-14351.575163	25.0000	25.0000	625.0000
211	-14350.287155	25.0000	25.0000	625.0000
212	-14207.505529	25.0000	25.0000	625.0000
213	-13964.897539	25.0000	25.0000	625.0000
214	-13998.729578	25.0000	25.0000	625.0000
215	-13914.082896	25.0000	25.0000	625.0000
216	-13719.031471	25.0000	25.0000	625.0000
217	-13608.960203	25.0000	25.0000	625.0000
218	-13848.860470	25.0000	25.0000	625.0000
219	-14934.271681	25.0000	25.0000	625.0000
220	-14149.035530	25.0000	25.0000	625.0000
221	-14204.845710	25.0000	25.0000	625.0000
222	-14221.587324	25.0000	25.0000	625.0000
223	-14240.423410	25.0000	25.0000	625.0000
224	-14078.364882	25.0000	25.0000	625.0000
225	-13830.104789	25.0000	25.0000	625.0000
226	-14722.104949	25.0000	25.0000	625.0000
227	-14414.215592	25.0000	25.0000	625.0000
228	-14518.429756	25.0000	25.0000	625.0000
229	-15054.105911	25.0000	25.0000	625.0000
230	-15379.710125	25.0000	25.0000	625.0000
231	-14709.255547	25.0000	25.0000	625.0000
232	-15354.168876	25.0000	25.0000	625.0000
233	-15638.924178	25.0000	25.0000	625.0000
234	-16066.357266	25.0000	25.0000	625.0000
235	-15469.032909	25.0000	25.0000	625.0000
236	-16044.986465	25.0000	25.0000	625.0000
237	-15815.760381	25.0000	25.0000	625.0000
238	-15666.020758	25.0000	25.0000	625.0000
239	-15740.798696	25.0000	25.0000	625.0000
240	-16199.389203	25.0000	25.0000	625.0000
241	-16373.272197	25.0000	25.0000	625.0000
242	-16397.347381	25.0000	25.0000	625.0000
243	-16996.682550	25.0000	25.0000	625.0000
244	-16104.576318	25.0000	25.0000	625.0000
245	-16995.120077	25.0000	25.0000	625.0000
246	-16651.515961	25.0000	25.0000	625.0000
247	-16482.611396	25.0000	25.0000	625.0000
248	-17376.684188	25.0000	25.0000	625.0000
249	-16784.796393	25.0000	25.0000	625.0000
250	-16643.987628	25.0000	25.0000	625.0000
251	-16888.173858	25.0000	25.0000	625.0000
252	-16762.518574	25.0000	25.0000	625.0000
253	-17208.131049	25.0000	25.0000	625.0000
254	-17695.064522	25.0000	25.0000	625.0000
255	-17871.319159	25.0000	25.0000	625.0000
256	-18497.961571	25.0000	25.0000	625.0000
257	-17996.155251	25.0000	25.0000	625.0000
258	-17683.214232	25.0000	25.0000	625.0000
259	-18032.811796	25.0000	25.0000	625.0000
260	-18523.651215	25.0000	25.0000	625.0000
261	-17834.699712	25.0000	25.0000	625.0000
262	-17943.942956	25.0000	25.0000	625.0000
263	-18134.725294	25.0000	25.0000	625.0000
264	-17758.451982	25.0000	25.0000	625.0000
265	-17862.104409	25.0000	25.0000	625.0000
266	-18406.273535	25.0000	25.0000	625.0000
267	-17400.789659	25.0000	25.0000	625.0000
268	-16990.216657	25.0000	25.0000	625.0000
269	-16903.651787	25.0000	25.0000	625.0000
270	-16337.082859	25.0000	25.0000	625.0000
271	-17140.366579	25.0000	25.0000	625.0000
272	-16370.799003	25.0000	25.0000	625.0000
273	-16578.493240	25.0000	25.0000	625.0000
274	-16136.449297	25.0000	25.0000	625.0000
275	-16952.062762	25.0000	25.0000	625.0000
276	-16741.357140	25.0000	25.0000	625.0000
277	-16910.390048	25.0000	25.0000	625.0000
278	-17090.249974	25.0000	25.0000	625.0000
279	-16437.170880	25.0000	25.0000	625.0000
280	-17417.449844	25.0000	25.0000	625.0000
281	-16916.198836	25.0000	25.0000	625.0000
282	-16666.267868	25.0000	25.0000	625.0000
283	-16529.437105	25.0000	25.0000	625.0000
284	-16684.908737	25.0000	25.0000	625.0000
285	-16403.270929	25.0000	25.0000	625.0000
286	-15946.003633	25.0000	25.0000	625.0000
287	-16342.894988	25.0000	25.0000	625.0000
288	-16370.109890	25.0000	25.0000	625.0000
289	-16520.918787	25.0000	25.0000	625.0000
290	-16677.894875	25.0000	25.0000	625.0000
291	-16275.064324	25.0000	25.0000	625.0000
292	-16664.963754	25.0000	25.0000	625.0000
293	-16772.305069	25.0000	25.0000	625.0000
294	-16102.457077	25.0000	25.0000	625.0000
295	-16774.708663	25.0000	25.0000	625.0000
296	-16002.477895	25.0000	25.0000	625.0000
297	-16180.545228	25.0000	25.0000	625.0000
298	-16657.051693	25.0000	25.0000	625.0000
299	-16628.019450	25.0000	25.0000	625.0000
300	-17128.356305	25.0000	25.0000	625.0000
301	-17081.017314	25.0000	25.0000	625.0000
302	-16645.662900	25.0000	25.0000	625.0000
303	-17193.290614	25.0000	25.0000	625.0000
304	-17688.111816	25.0000	25.0000	625.0000
305	-16679.387131	25.0000	25.0000	625.0000
306	-17202.883577	25.0000	25.0000	625.0000
307	-16961.838065	25.0000	25.0000	625.0000
308	-16786.727083	25.0000	25.0000	625.0000
